State,District,IncreaseRate(N/N+1),IncreaseRate(N+1/N+2),IncreaseRate(N+2/N+3),IncreaseRate(N+3/N+4),IncreaseRate(N+4/N+5),IncreaseRate(N+5/N+6)
Gujarat,Narmada,3.867939796,12.99158616,7.667061971,4.618458465,1.290338377,0.3263313109
Gujarat,Navsari,6.498139904,16.07730852,8.482979773,5.373018941,4.294160804,1.578664239
Gujarat,Other State,0,0,0,0,0,0
Gujarat,Panchmahal,-2.796426495,19.62693061,12.56838054,6.563909268,2.540392365,0.813088257
Gujarat,Patan,3.435228361,10.559949,6.764326313,3.468141195,0.746936442,0.2319183845
Gujarat,Porbandar,-11.3836719,19.00519031,26.35022171,21.45898055,10.48692687,1.526193947
Gujarat,Rajkot,1.474271788,9.208678908,5.569069119,3.219985902,1.740182963,0.7268464831
Gujarat,Sabarkantha,-0.2064122411,15.20942467,13.52353446,7.695877884,2.422946162,0.8290607614
Gujarat,Surat,4.588040947,6.193233833,3.322893797,1.957116147,1.141471807,0.5955573603
Gujarat,Surendranagar,6.324714425,9.527577089,4.845547001,2.043369475,0.525932375,0.1325627022
Gujarat,Tapi,9.697749196,12.00218861,4.417614628,2.045181126,0.8350799057,0.3052840116
Gujarat,Vadodara,-0.3283353949,13.69981183,8.631414551,5.080052279,3.187019489,1.541373563
Gujarat,Valsad,3.673766612,18.93306174,12.67089916,6.093406017,3.735085596,1.619317505
Haryana,Ambala,2.778406092,12.48945457,7.388265728,3.2130079,1.538597317,0.8445603361
Haryana,Bhiwani,-1.580123081,29.70883076,17.82794795,9.603610818,2.201159694,0.8403142892
Haryana,Charkhi Dadri,-11.23324016,34.8793766,21.46333742,8.991692458,3.586907787,0.7213966239
Haryana,Faridabad,6.086732418,11.83510249,4.64349924,1.50093781,0.7272600687,0.302541144
Haryana,Fatehabad,1.145933474,20.75555387,13.84554032,7.262168142,3.581189089,1.728272143
Haryana,Gurugram,9.580727874,13.99645932,6.17560252,1.541079969,0.4197140593,0.1543065483
Haryana,Hisar,2.952862158,21.98469732,12.14372504,5.478761263,1.830927429,0.7544011203
Haryana,Jhajjar,-1.887242622,20.14007101,17.7252854,9.657674387,1.946596005,0.7382400664
Haryana,Jind,5.706900587,17.37280385,10.60030676,5.054692425,2.2398543,1.26558681
Haryana,Kaithal,4.039923116,11.0559322,7.485920974,4.936956892,2.884784521,1.508476137
Haryana,Karnal,5.144164273,12.40116827,7.220401265,3.501614368,1.602156366,0.7686668457
Haryana,Kurukshetra,1.172859451,9.347555328,5.990070093,2.974566697,1.377423369,0.8631327496
Haryana,Mahendragarh,5.848949461,34.31067706,15.99116357,4.618703924,1.259547369,0.4557576723
Haryana,Nuh,8.736712225,24.92471523,11.47288988,5.638084493,1.699943632,0.9247374562
Haryana,Palwal,-4.969979274,22.6059584,18.68363623,7.70894819,2.058646315,2.066319
Haryana,Panchkula,1.921113057,12.94777048,7.544126581,3.758917368,1.746567092,0.8054930745
Haryana,Panipat,6.627378997,16.25139682,8.251065156,2.770471345,1.048049619,0.3212298249
Haryana,Rewari,-0.8722563443,9.691735752,9.526395068,9.342267283,2.223765996,0.7768740477
Haryana,Rohtak,0.9849734286,13.50768952,11.64844827,5.524133405,1.255166253,0.4690405329
Haryana,Sirsa,0.4829739487,25.7165283,15.2056796,7.545799416,3.416228123,1.481395898
Haryana,Sonipat,7.631967997,16.97356301,8.538855523,3.267880269,0.9397888094,0.3370055954
Haryana,Yamunanagar,0.8009230978,14.77173254,11.5629446,6.185045193,3.207993364,1.710093812
Himachal Pradesh,Bilaspur,-0.556096769,31.16861913,17.49961102,8.421944728,3.63960575,2.017511814
Himachal Pradesh,Chamba,-7.537252374,32.89893546,21.42770671,9.835166661,6.50217092,5.108027103
Himachal Pradesh,Hamirpur,-3.261039979,31.64424756,16.61833502,7.86464137,4.231187473,2.370345641
Himachal Pradesh,Kangra,-5.639896677,37.92562822,21.91463833,9.454444547,4.235907352,1.987294031
Himachal Pradesh,Kinnaur,-5.317228932,15.09530792,12.19185935,12.56458298,6.799152628,3.334277888
Himachal Pradesh,Kullu,-1.771670938,10.86223182,8.79178838,5.821368637,3.894135889,2.381194668
Himachal Pradesh,Lahaul and Spiti,2.980436472,9.3889308,7.172413793,3.492453492,2.854558815,2.044405364
Himachal Pradesh,Mandi,-2.078009133,23.38595816,13.01293387,6.855098522,3.384253144,2.775200947
Himachal Pradesh,Shimla,-1.348403229,16.62059521,11.65324698,6.869815141,3.184460323,1.947671147
Himachal Pradesh,Sirmaur,1.832477535,26.44889855,15.64793699,7.519072454,3.794271512,1.661710181
Himachal Pradesh,Solan,1.5641303,18.39379459,10.67451062,6.229050681,2.801890497,1.323901359
Himachal Pradesh,Una,-4.431083617,23.68267937,14.60535407,8.13771518,5.092405874,2.737174784
Jammu and Kashmir,Anantnag,-0.6568065392,24.03575701,13.96045927,11.29650172,6.645020088,3.493660153
Jammu and Kashmir,Bandipora,-4.334797328,10.82231415,13.29535892,9.204136434,4.912629486,3.282966805
Jammu and Kashmir,Baramulla,0.6728278841,15.64217701,9.28793078,8.500841296,5.440825228,3.343969955
Jammu and Kashmir,Budgam,-4.547034543,20.61132986,16.16251203,11.1171578,5.991827665,4.071724138
Jammu and Kashmir,Doda,-6.799325687,10.70719251,11.2574083,9.306343402,8.627275362,5.917159763
Jammu and Kashmir,Ganderbal,-5.999547716,11.78579161,11.63000904,11.80065548,7.552896139,3.2483045
Jammu and Kashmir,Jammu,-1.434939063,11.49601863,9.170043827,6.542454053,3.764300403,1.318848792
Jammu and Kashmir,Kathua,-4.097093775,25.05416116,16.58462384,8.765380643,3.397200933,1.812791054
Jammu and Kashmir,Kishtwar,-4.500330907,9.429429429,8.625348307,6.051537176,4.416184124,3.151872521
Jammu and Kashmir,Kulgam,-2.039139528,28.86008387,16.72781065,12.36038593,6.421438884,4.526184891
Jammu and Kashmir,Kupwara,-6.700405204,14.9257834,12.00988599,13.25038792,9.03777261,5.32134417
Jammu and Kashmir,Pulwama,-4.689587746,19.31888121,14.27670793,9.75976729,8.082019648,5.217988691
Jammu and Kashmir,Punch,-5.775148875,17.31421785,15.00831586,9.349555157,8.708277032,6.326034063
Jammu and Kashmir,Rajouri,-3.434428335,25.6262089,15.97798264,8.776820829,5.717772693,3.642240757
Jammu and Kashmir,Ramban,-8.395913378,15.87626901,19.27031918,16.52239887,8.431987688,5.112318148
Jammu and Kashmir,Reasi,-2.835192976,13.18900602,10.09546619,8.311680464,4.499428157,2.16219102
Jammu and Kashmir,Samba,-0.8053864244,19.14520477,16.03336423,8.637943995,3.286841821,1.833978855
Jammu and Kashmir,Shopiyan,-1.894148224,20.12202465,11.70219876,7.996290535,4.177169607,1.837326172
Jammu and Kashmir,Srinagar,3.685262788,11.7921492,7.787515924,5.509069507,3.612449678,2.470280953
Jammu and Kashmir,Udhampur,-3.542870715,18.48606722,16.84360009,7.461204405,3.501924058,1.961568188
Jharkhand,Bokaro,5.949876667,19.11792866,7.295879516,3.456270256,1.159334126,0.5025731444
Jharkhand,Chatra,12.38201412,17.8890285,9.082239426,3.491900231,1.605048698,1.30826038
Jharkhand,Deoghar,5.869569122,11.80931377,6.131459958,3.921540595,1.617829137,0.7445915577
Jharkhand,Dhanbad,0.1020202247,8.717759186,7.829159499,4.493995586,2.125675416,1.287353852
Jharkhand,Dumka,5.519383326,7.73431682,2.97564187,1.585475003,0.7426054122,0.4935032484
Jharkhand,East Singhbhum,5.698513113,13.48807184,6.801536162,3.093320174,2.34844969,1.85395902
Jharkhand,Garhwa,1.480272743,15.70665595,10.29134405,4.230137479,1.347063014,0.7093104991
Jharkhand,Giridih,7.750486206,17.84210174,8.129112775,4.655229701,2.173949369,1.203676447
Jharkhand,Godda,9.299693782,11.83994153,5.445733268,2.032226411,1.366638828,0.4993383767
Jharkhand,Gumla,7.4389912,18.86346365,10.37685586,4.777075188,2.530712531,1.288042176
Jharkhand,Hazaribagh,13.33817505,17.28726333,8.020965828,3.460593177,2.033333843,1.155861656
Jharkhand,Jamtara,8.858348583,17.57178634,6.285197397,2.322580645,1.35762389,0.688249464
Jharkhand,Khunti,5.798879701,18.96177894,7.934725019,3.308527558,1.830311324,0.8921738806
Jharkhand,Koderma,6.885638788,14.67502228,6.066379224,3.073596143,1.272570937,0.6192335994
Jharkhand,Latehar,9.507674486,20.15444424,8.885416208,4.479391967,2.484183644,1.121368296
Jharkhand,Lohardaga,10.22362164,17.00577159,6.818634778,4.8394244,2.051076704,0.8239961634
Jharkhand,Pakur,-4.989007272,49.39480242,3.222923865,1.385121487,0.8083338077,0.2654017731
Jharkhand,Palamu,-0.1080942435,30.54307357,13.36546027,4.135631871,1.030633375,0.5336191867
Jharkhand,Ramgarh,8.08149502,13.1270892,6.705755571,2.503094933,1.145236304,0.5153343389
Jharkhand,Ranchi,5.743128232,6.642855384,3.023877766,1.542370369,0.613993692,0.2741639686
Jharkhand,Sahibganj,2.949797781,6.981186477,3.894485059,2.360647232,1.666297082,1.913189792
Jharkhand,Saraikela-Kharsawan,5.299802556,9.626961413,5.126704776,3.440229491,2.119249157,1.007235069
Jharkhand,Simdega,2.687803663,18.00370022,11.70483461,5.616529762,3.470437018,2.073902516
Jharkhand,West Singhbhum,5.093268451,18.37783609,10.32374148,4.000472729,1.090909091,0.8902877698
Karnataka,Bagalkote,-1.008265783,28.44369147,11.08918561,6.037590053,4.543414604,2.667080365
Karnataka,Ballari,-5.344061793,18.01319054,18.13540856,9.374895699,4.318755993,2.283983785
Karnataka,Belagavi,-12.84015554,17.19898924,25.2749497,14.9904459,11.4200852,5.505668367
Karnataka,Bengaluru Rural,-2.007615232,18.93900521,15.09560655,9.218994187,5.908417863,3.902389309
Karnataka,Bengaluru Urban,5.211499128,14.34873324,7.941479838,4.572531772,2.671699632,1.494139816
Karnataka,Bidar,6.350129101,10.10896958,4.819315947,1.924590971,0.9788243246,0.4494086571
Karnataka,Chamarajanagara,-4.03180172,31.54279312,19.05434279,12.54902453,8.272328373,5.835916661
Karnataka,Chikkaballapura,-0.03227089108,17.50569246,14.10104836,10.1514702,6.691309066,5.429481856
Karnataka,Chikkamagaluru,-9.966630951,19.26526893,21.7754995,15.81345258,10.91142854,7.067164859
Karnataka,Chitradurga,-12.75890012,7.774900226,16.7908322,16.92776246,16.11212434,7.290783801
Karnataka,Dakshina Kannada,-1.818531209,17.20196827,11.42851095,8.240720219,6.583850932,5.21419972
Karnataka,Davanagere,-7.046086993,9.99232641,14.20034423,12.60057714,9.148861746,5.943138935
Karnataka,Dharwad,-4.463436328,17.24766037,15.26835095,12.31715206,5.387337371,3.20081374
