District	State	2021-11-22	2021-11-23	2021-11-24	2021-11-25	2021-11-26	2021-11-27	2021-11-28	Count_x	sum_x	avg_cases_previous_week	2021-11-29	2021-11-30	2021-12-01	2021-12-02	2021-12-03	2021-12-04	2021-12-05	Count_y	sum_y	avg_cases_over_7_days	Increase	Rate_of_Increase
Damoh	Madhya Pradesh	8129	8129	8129	8129	8129	8129	8129	7	56903.0	8129.0	8129	8129	8129	8129	8129	8129	8129	7	56903.0	8129.0	0.0	0.0
Dang	Gujarat	866	866	866	866	866	866	866	7	6062.0	866.0	866	866	866	866	866	866	866	7	6062.0	866.0	0.0	0.0
Darbhanga	Bihar	10941	10941	10941	10941	10941	10941	10941	7	76587.0	10941.0	10941	10942	10942	10942	10942	10942	10942	7	76593.0	10941.857142857143	0.857142857143117	0.007834227741002805
Darjeeling	West Bengal	57745	57771	57813	57841	57858	57872	57900	7	404800.0	57828.57142857143	57912	57933	57941	57967	57990	58016	58035	7	405794.0	57970.57142857143	142.0	0.24555335968379446
Darrang	Assam	142	145	148	155	163	169	169	7	1091.0	155.85714285714286	176	177	182	182	186	189	190	7	1282.0	183.14285714285714	27.285714285714278	17.506874427131066
Datia	Madhya Pradesh	6962	6962	6962	6962	6962	6962	6962	7	48734.0	6962.0	6962	6962	6962	6962	6962	6962	6962	7	48734.0	6962.0	0.0	0.0
Dausa	Rajasthan	13351	13351	13351	13353	13353	13353	13353	7	93465.0	13352.142857142857	13353	13353	13353	13353	13354	13354	13354	7	93474.0	13353.42857142857	1.285714285713766	0.009629272989885371
Davanagere	Karnataka	50999	51000	51000	51001	51001	51001	51003	7	357005.0	51000.71428571428	51004	51005	51005	51008	51010	51012	51014	7	357058.0	51008.28571428572	7.571428571434808	0.014845730451966684
Dehradun	Uttarakhand	112418	112418	112437	112442	112442	112452	112457	7	787066.0	112438.0	112465	112473	112481	112485	112491	112493	112493	7	787381.0	112483.0	45.0	0.040022056600081825
Deogarh	Odisha	6592	6593	6594	6594	6596	6596	6599	7	46164.0	6594.857142857143	6599	6599	6599	6599	6599	6601	6601	7	46197.0	6599.571428571428	4.7142857142853245	0.07148427345983292
Deoghar	Jharkhand	10841	10841	10841	10841	10841	10841	10841	7	75887.0	10841.0	10841	10841	10841	10841	10841	10841	10841	7	75887.0	10841.0	0.0	0.0
Deoria	Uttar Pradesh	20224	20224	20224	20224	20224	20224	20224	7	141568.0	20224.0	20224	20224	20224	20224	20224	20224	20224	7	141568.0	20224.0	0.0	0.0
Devbhumi Dwarka	Gujarat	4178	4178	4178	4178	4178	4178	4178	7	29246.0	4178.0	4178	4178	4178	4178	4178	4178	4178	7	29246.0	4178.0	0.0	0.0
Dewas	Madhya Pradesh	7723	7723	7723	7723	7723	7723	7723	7	54061.0	7723.0	7723	7723	7723	7723	7723	7723	7723	7	54061.0	7723.0	0.0	0.0
Dhalai	Tripura	7039	7039	7039	7039	7039	7039	7039	7	49273.0	7039.0	7039	7039	7039	7039	7039	7039	7039	7	49273.0	7039.0	0.0	0.0
