	District	State	total_confirmed	total_tested	PositivityRate
375	Patiala	Punjab	340618.0	1913408.0	0.17801639796635113
376	Patna	Bihar	1026747.0	4733666.0	0.21690313596269784
377	Pauri Garhwal	Uttarakhand	122618.0	972146.0	0.1261312601193648
378	Perambalur	Tamil Nadu	79686.0	55867.0	1.4263518714088819
379	Peren	Nagaland	5182.0	40019.0	0.12948849296584122
380	Phek	Nagaland	3049.0	19453.0	0.1567367501156634
381	Pilibhit	Uttar Pradesh	77161.0	2040766.0	0.03780982239022014
382	Pithoragarh	Uttarakhand	70456.0	508802.0	0.13847429845008472
383	Porbandar	Gujarat	24306.0	685384.0	0.035463331504674754
384	Prakasam	Andhra Pradesh	887954.0	4881380.0	0.18190634615620993
385	Pratapgarh	Rajasthan	49964.0	365456.0	0.13671686878858194
386	Pratapgarh	Uttar Pradesh	112149.0	703500.0	0.15941577825159914
387	Prayagraj	Uttar Pradesh	549614.0	5105100.0	0.10765979118920295
388	Puducherry	Puducherry	655347.0	2979473.0	0.21995399857625827
389	Pudukkottai	Tamil Nadu	194552.0	145845.0	1.3339641400116562
390	Pulwama	Jammu and Kashmir	105749.0	976864.0	0.10825355423068103
391	Pune	Maharashtra	7537150.0	679889.0	11.085853720239628
392	Puri	Odisha	294634.0	1213380.0	0.24282088051558456
393	Purnia	Bihar	170506.0	3981292.0	0.042826800948033955
394	Rae Bareli	Uttar Pradesh	119464.0	2711856.0	0.04405248656270835
395	Raichur	Karnataka	278948.0	147077.0	1.8966119787594253
396	Raigad	Maharashtra	1247271.0	2128616.0	0.5859539719705198
397	Raigarh	Chhattisgarh	436304.0	35588.0	12.259862875126448
398	Raipur	Chhattisgarh	1102826.0	88928.0	12.401335912198633
399	Raisen	Madhya Pradesh	64610.0	310401.0	0.20815010260920552
400	Rajgarh	Madhya Pradesh	60836.0	326228.0	0.18648307318807705
401	Rajkot	Gujarat	405269.0	5118757.0	0.07917332274222043
402	Rajnandgaon	Chhattisgarh	391861.0	874629.0	0.4480311080469548
403	Rajsamand	Rajasthan	119260.0	643825.0	0.18523667145575273
404	Ramanagara	Karnataka	167510.0	723793.0	0.23143357285853827
405	Ramanathapuram	Tamil Nadu	139365.0	163723.0	0.8512243240106766
406	Rampur	Uttar Pradesh	82654.0	1920016.0	0.04304859959500337
407	Ranipet	Tamil Nadu	291785.0	140826.0	2.071954042577365
408	Ratlam	Madhya Pradesh	124955.0	362152.0	0.3450346815701694
409	Rayagada	Odisha	137021.0	4046.0	33.865793376174
410	Rewa	Madhya Pradesh	115017.0	158830.0	0.7241516086381666
